symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
PC1,Công ty Cổ phần Tập đoàn PC1,Xây dựng,HOSE,20.15,11043.0,7.96,1.27,15.98,-10.44,-24.39,-13.05,False,False,32.0,0.73,43.41,29692150250.0,-35.73,14.16,59.2,69.0,29.5,43.9,46.9
PDR,Công ty cổ phần Phát triển Bất động sản Phát Đạt,Khác,HOSE,11.5,16115.0,38.33,4.05,10.56,-23.08,-24.09,-51.27,False,False,4.0,1.06,37.73,53343708250.0,-56.27,3.14,7.1,44.2,16.7,51.8,23.9
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ,HOSE,38.8,5069.0,22.82,1.76,7.72,2.28,32.21,80.7,True,True,46.71,0.99,48.93,12137574500.0,-3.84,94.22,25.8,30.1,90.7,28.9,49.9
PHR,Công ty cổ phần Cao su Phước Hòa,Khác,HOSE,31.7,8414.0,8.39,1.06,12.61,-9.02,-0.15,-0.15,False,False,28.67,0.69,36.63,14679149005.0,-18.08,20.07,67.4,54.9,64.6,32.5,54.2
PLC,Tổng Công ty Hóa dầu Petrolimex-CTCP,Khác,HNX,19.0,1907.0,111.76,1.26,1.12,-10.38,-22.45,-34.26,False,False,38.3,1.01,48.06,2432339570.0,-48.79,7.34,23.9,3.5,33.0,13.2,16.8
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,HOSE,36.85,50188.0,17.46,1.79,10.23,-1.24,-10.82,6.18,True,False,53.28,0.71,46.91,196450295000.0,-45.08,16.91,28.9,40.7,58.4,84.2,47.5
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Bán lẻ,HOSE,36.9,38379.0,2.2,0.47,21.3,-44.09,-51.53,-35.96,False,False,23.12,0.92,46.68,212053505250.0,-56.42,20.0,98.2,87.6,1.8,85.1,61.4
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Điện/Nước,HOSE,12.55,40649.0,15.89,1.13,7.09,-13.45,-4.56,-1.72,False,False,28.57,0.72,33.28,84154369500.0,-24.17,15.03,47.7,23.0,54.0,62.3,43.3
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,Điện/Nước,HOSE,8.82,3238.0,16.96,0.63,3.73,-8.51,-19.45,-14.71,False,False,35.71,0.23,16.12,820334100.0,-20.9,0.8,59.0,10.6,42.8,4.4,29.7
PTB,Công ty Cổ phần Phú Tài,Khác,HOSE,28.95,3968.0,4.68,0.69,14.76,-19.02,-22.54,-17.19,False,False,23.58,0.67,28.38,3659443840.0,-34.85,0.0,87.6,62.4,21.6,16.7,46.0
